year,merry,count
NA,FALSE,121765
1800,FALSE,27
1801,FALSE,14
1802,FALSE,18
1803,FALSE,13
1804,FALSE,15
1805,FALSE,24
1806,FALSE,18
1807,FALSE,26
1808,FALSE,50
1809,FALSE,39
1810,FALSE,21
1811,FALSE,31
1812,FALSE,26
1813,FALSE,26
1814,FALSE,34
1815,FALSE,25
1816,FALSE,26
1817,FALSE,45
1818,FALSE,51
1819,FALSE,56
1820,FALSE,32
1821,FALSE,35
1822,FALSE,49
1823,FALSE,43
1824,FALSE,36
1825,FALSE,33
1826,FALSE,31
1827,FALSE,29
1828,FALSE,40
1829,FALSE,53
1830,FALSE,26
1831,FALSE,30
1832,FALSE,31
1833,FALSE,23
1834,FALSE,23
1835,FALSE,29
1836,FALSE,16
1837,FALSE,18
1838,FALSE,32
1839,FALSE,26
1840,FALSE,20
1841,FALSE,29
1842,FALSE,32
1843,FALSE,37
1844,FALSE,40
1845,FALSE,40
1846,FALSE,49
1847,FALSE,71
1848,FALSE,61
1849,FALSE,71
1850,FALSE,42
1851,FALSE,88
1852,FALSE,79
1853,FALSE,94
1854,FALSE,91
1855,FALSE,94
1856,FALSE,99
1857,FALSE,130
1858,FALSE,172
1859,FALSE,159
1860,FALSE,218
1861,FALSE,348
1862,FALSE,510
1863,FALSE,703
1864,FALSE,1104
1865,FALSE,1689
1866,FALSE,2978
1867,FALSE,4567
1868,FALSE,7065
1869,FALSE,11105
1870,FALSE,17916
1871,FALSE,23860
1872,FALSE,37499
1872,TRUE,1
1873,FALSE,48436
1874,FALSE,67191
1875,FALSE,89603
1876,FALSE,115109
1876,TRUE,1
1877,FALSE,139355
1877,TRUE,1
1878,FALSE,170352
1878,TRUE,1
1879,FALSE,206561
1879,TRUE,1
1880,FALSE,256165
1880,TRUE,2
1881,FALSE,293191
1882,FALSE,360619
1882,TRUE,2
1883,FALSE,403691
1884,FALSE,480110
1885,FALSE,527309
1886,FALSE,589690
1886,TRUE,3
1887,FALSE,630627
1887,TRUE,1
1888,FALSE,757599
1888,TRUE,2
1889,FALSE,795305
1889,TRUE,4
1890,FALSE,844481
1890,TRUE,1
1891,FALSE,909197
1891,TRUE,1
1892,FALSE,1016271
1892,TRUE,2
1893,FALSE,1054594
1893,TRUE,6
1894,FALSE,1114178
1894,TRUE,7
1895,FALSE,1168739
1895,TRUE,10
1896,FALSE,1216554
1896,TRUE,6
1897,FALSE,1216796
1897,TRUE,3
1898,FALSE,1286808
1898,TRUE,12
1899,FALSE,1256301
1899,TRUE,5
1900,FALSE,1426006
1900,TRUE,7
1901,FALSE,1373277
1901,TRUE,7
1902,FALSE,1511214
1902,TRUE,10
1903,FALSE,1550353
1903,TRUE,8
1904,FALSE,1602112
1904,TRUE,12
1905,FALSE,1682727
1905,TRUE,7
1906,FALSE,1710686
1906,TRUE,11
1907,FALSE,1795917
1907,TRUE,10
1908,FALSE,1837123
1908,TRUE,8
1909,FALSE,1850970
1909,TRUE,20
1910,FALSE,1895486
1910,TRUE,11
1911,FALSE,1891947
1911,TRUE,12
1912,FALSE,1965369
1912,TRUE,14
1913,FALSE,1963850
1913,TRUE,21
1914,FALSE,2002664
1914,TRUE,17
1915,FALSE,1949871
1915,TRUE,17
1916,FALSE,1920428
1916,TRUE,8
1917,FALSE,1891453
1917,TRUE,17
1918,FALSE,1922082
1918,TRUE,24
1919,FALSE,1825413
1919,TRUE,34
1920,FALSE,1894496
1920,TRUE,30
1921,FALSE,1880245
1921,TRUE,34
1922,FALSE,1746921
1922,TRUE,25
1923,FALSE,1672405
1923,TRUE,27
1924,FALSE,1630179
1924,TRUE,17
1925,FALSE,1518979
1925,TRUE,17
1926,FALSE,1411338
1926,TRUE,14
1927,FALSE,1344901
1927,TRUE,21
1928,FALSE,1238221
1928,TRUE,18
1929,FALSE,1125350
1929,TRUE,14
1930,FALSE,1071201
1930,TRUE,14
1931,FALSE,958608
1931,TRUE,8
1932,FALSE,900168
1932,TRUE,15
1933,FALSE,801649
1933,TRUE,12
1934,FALSE,772991
1934,TRUE,12
1935,FALSE,718635
1935,TRUE,13
1936,FALSE,657787
1936,TRUE,12
1937,FALSE,619986
1937,TRUE,16
1938,FALSE,591454
1938,TRUE,14
1939,FALSE,548567
1939,TRUE,14
1940,FALSE,523590
1940,TRUE,16
1941,FALSE,508335
1941,TRUE,7
1942,FALSE,517288
1942,TRUE,18
1943,FALSE,495042
1943,TRUE,22
1944,FALSE,440929
1944,TRUE,17
1945,FALSE,400637
1945,TRUE,18
1946,FALSE,432914
1946,TRUE,25
1947,FALSE,449970
1947,TRUE,18
1948,FALSE,406893
1948,TRUE,18
1949,FALSE,382468
1949,TRUE,18
1950,FALSE,360967
1950,TRUE,16
1951,FALSE,350875
1951,TRUE,7
1952,FALSE,339737
1952,TRUE,10
1953,FALSE,323333
1953,TRUE,18
1954,FALSE,311127
1954,TRUE,21
1955,FALSE,291976
1955,TRUE,18
1956,FALSE,277592
1956,TRUE,6
1957,FALSE,262953
1957,TRUE,9
1958,FALSE,237845
1958,TRUE,6
1959,FALSE,222161
1959,TRUE,9
1960,FALSE,203474
1960,TRUE,8
1961,FALSE,185318
1961,TRUE,4
1962,FALSE,165501
1962,TRUE,4
1963,FALSE,147072
1963,TRUE,2
1964,FALSE,131979
1964,TRUE,3
1965,FALSE,111906
1965,TRUE,3
1966,FALSE,98071
1966,TRUE,1
1967,FALSE,87884
1967,TRUE,1
1968,FALSE,79870
1968,TRUE,2
1969,FALSE,75827
1969,TRUE,5
1970,FALSE,73383
1970,TRUE,3
1971,FALSE,66078
1971,TRUE,1
1972,FALSE,59479
1973,FALSE,53636
1973,TRUE,2
1974,FALSE,51103
1974,TRUE,1
1975,FALSE,49344
1976,FALSE,47278
1977,FALSE,47573
1977,TRUE,1
1978,FALSE,45166
1978,TRUE,1
1979,FALSE,44839
1980,FALSE,43433
1981,FALSE,40524
1982,FALSE,37849
1982,TRUE,1
1983,FALSE,35026
1984,FALSE,32496
1985,FALSE,30347
1985,TRUE,1
1986,FALSE,27080
1987,FALSE,24196
1987,TRUE,1
1988,FALSE,22023
1989,FALSE,20131
1990,FALSE,18333
1990,TRUE,1
1991,FALSE,16597
1992,FALSE,15290
1993,FALSE,13893
1994,FALSE,12591
1995,FALSE,11119
1996,FALSE,10505
1996,TRUE,1
1997,FALSE,10437
1998,FALSE,10435
1999,FALSE,10480
2000,FALSE,11271
2001,FALSE,11041
2001,TRUE,1
2002,FALSE,10712
2003,FALSE,10292
2004,FALSE,9566
2005,FALSE,8727
2006,FALSE,7942
2007,FALSE,7388
2008,FALSE,6354
2009,FALSE,5251
2010,FALSE,4408
2011,FALSE,2099
